Label,Address,Size
SOFT.0,$0000,1
THRUST,$0001,1
SHIP,$0002,1
SHPINE,$0003,2
INERTIA,$0005,2
XCURADJ,$0007,4
YCURADJ,$0009,-
THRSTLV,$000B,2
YCURR,$000D,8
XCURR,$000F,-
MDWAIT,$0011,-
XPRE,$0015,4
YPRE,$0017,-
XPOS,$0019,4
XCOMP,$0019,-
YPOS,$001B,-
XPOLAN,$001D,4
YPOLAN,$001F,-
LANG,$0021,1
GAMODE,$0022,1
PLYMOD,$0023,1
TYPCNT,$0024,1
STRTCNT,$0025,1
D.SCNT,$0026,1
RAMPTR,$0027,2
VGLIST,$0027,-
PTRTMP,$0029,2
POINTR,$002B,2
RAMLUN,$002D,2
LABPTR,$002F,2
TBLADDR,$0031,2
TABSIT,$0033,4
TEMP1,$0037,2
TEMP2,$0038,-
TEMP3,$0039,2
TEMP4,$003A,-
TEMP5,$003B,2
TEMP6,$003C,-
DELX,$003D,2
DELY,$003F,2
EXP,$0041,1
MULTR,$0042,1
MULTC,$0043,1
PROD,$0044,2
SGNTRX,$0046,1
SGNTRY,$0047,1
SUMSOR,$0048,2
SUMDES,$004A,2
SSORSGN,$004C,1
SDESSGN,$004D,1
LUNARNUM,$004E,1
LUNAROT,$004F,15
SCROLL,$0050,-
SCRADD,$0052,-
MJRFLG,$0055,-
INDEX,$0056,-
XTHRUST,$0058,-
YTHRUST,$0058,-
SGNVLX,$0059,-
SGNVLY,$005B,-
COLFLG,$005C,-
VELX,$005E,4
VELY,$005F,-
M.CLFL,$0062,1
GRAVITY,$0063,1
RAMLD,$0064,2
ROT,$0066,2
RSTDEB,$0068,1
STACK,$0069,2
STKSPCE,$006B,8
INTFLG,$0073,1
INTCNT,$0074,1
DIVSOR,$0075,1
QUOT,$0076,2
MQ,$0078,1
DISTXL,$0079,8
DISTXR,$0078,-
DISTYL,$007A,-
DISTYR,$007C,-
DISTFLG,$0081,1
POTVAL,$0082,1
POTMIN,$0083,1
PTRNGE,$0084,1
POTUSE,$0085,1
FRAME,$0086,1
TIMVAL,$0087,1
LAMPZP,$0088,1
NOISZP,$0089,1
VGCOUNT,$008A,1
OFFSET,$008B,2
TIMER,$008D,1
BNFACT,$008E,1
VGBRIT,$008F,1
MSCNT1,$0090,1
RNDOM,$0091,1
NUMB1,$0092,3
NUMB2,$0093,-
NUMB3,$0094,-
FLDED,$0095,2
CRDTFLG,$0097,1
C.OPT,$0098,1
M2.OPT,$0099,1
ARRWX,$009A,1
ARRWY,$009B,1
GMTIME,$009C,8
FLMIN,$009E,-
FLUSE,$00A1,-
SCORE,$00A4,2
VELOCX,$00A6,3
VELOCY,$00A9,3
FUEL,$00AC,3
ALTITD,$00AF,3
$CCTIM,$00B2,1
$PSTSL,$00B3,1
$LMTIM,$00B4,1
$PSTSL_2,$00B5,1
$CNCT,$00B6,4
$CNSTT,$00B7,-
$INTCT,$00BA,1
TEST,$00BB,1
TSFLAG,$00BC,1
SWITCH,$00BD,2
OLDSW,$00BF,2
SOFT.1,$00C1,2
